,realtime_start,date,gdp_value
581,2013-07-31,1962-01-01,595.2
582,2017-10-27,1962-01-01,595.1759999999999
583,2018-07-27,1962-01-01,594.013
584,1991-12-04,1962-04-01,569.4
585,1996-01-19,1962-04-01,582.8
587,1999-10-29,1962-04-01,583.9
588,2003-12-10,1962-04-01,583.2
589,2013-07-31,1962-04-01,602.6
590,2017-10-27,1962-04-01,602.58
591,2018-07-27,1962-04-01,600.366
592,1991-12-04,1962-07-01,576.2
593,1996-01-19,1962-07-01,589.9
595,1999-10-29,1962-07-01,591.0
596,2003-12-10,1962-07-01,590.0
597,2013-07-31,1962-07-01,609.6
598,2017-10-27,1962-07-01,609.575
599,2018-07-27,1962-07-01,609.0269999999999
600,1991-12-04,1962-10-01,578.9
601,1996-01-19,1962-10-01,592.9
603,1999-10-29,1962-10-01,594.4
604,2003-12-10,1962-10-01,593.3
605,2013-07-31,1962-10-01,613.1
606,2017-10-27,1962-10-01,613.132
607,2018-07-27,1962-10-01,612.28
608,1991-12-04,1963-01-01,588.1
609,1996-01-19,1963-01-01,602.2
611,1999-10-29,1963-01-01,603.4
612,2003-12-10,1963-01-01,602.4
613,2009-07-31,1963-01-01,602.5
614,2013-07-31,1963-01-01,622.7
615,2017-10-27,1963-01-01,622.679
616,2018-07-27,1963-01-01,621.672
617,1991-12-04,1963-04-01,596.7
618,1996-01-19,1963-04-01,610.9
620,1999-10-29,1963-04-01,612.1
621,2003-12-10,1963-04-01,611.2
622,2013-07-31,1963-04-01,631.8
623,2017-10-27,1963-04-01,631.835
624,2018-07-27,1963-04-01,629.752
625,1991-12-04,1963-07-01,609.4
626,1996-01-19,1963-07-01,623.7
628,1999-10-29,1963-07-01,624.9
629,2003-12-10,1963-07-01,623.9
630,2013-07-31,1963-07-01,645.0
631,2017-10-27,1963-07-01,644.96
632,2018-07-27,1963-07-01,644.444
633,1991-12-04,1963-10-01,618.3
634,1996-01-19,1963-10-01,632.8
636,1999-10-29,1963-10-01,634.3
637,2003-12-10,1963-10-01,633.5
638,2013-07-31,1963-10-01,654.8
639,2017-10-27,1963-10-01,654.84
640,2018-07-27,1963-10-01,653.938
641,1991-12-04,1964-01-01,634.8
642,1996-01-19,1964-01-01,649.4
644,1999-10-29,1964-01-01,650.4
645,2003-12-10,1964-01-01,649.6
646,2013-07-31,1964-01-01,671.2
647,2014-07-30,1964-01-01,671.1
648,2017-10-27,1964-01-01,671.1489999999999
649,2018-07-27,1964-01-01,669.822
650,1991-12-04,1964-04-01,643.6
651,1996-01-19,1964-04-01,658.4
653,1999-10-29,1964-04-01,659.6
654,2003-12-10,1964-04-01,658.8
655,2009-07-31,1964-04-01,658.9
656,2013-07-31,1964-04-01,680.8
657,2017-10-27,1964-04-01,680.757
658,2018-07-27,1964-04-01,678.674
659,1991-12-04,1964-07-01,654.1
660,1996-01-19,1964-07-01,669.2
662,1999-10-29,1964-07-01,671.2
663,2003-12-10,1964-07-01,670.5
664,2013-07-31,1964-07-01,692.8
665,2017-10-27,1964-07-01,692.807
666,2018-07-27,1964-07-01,692.0310000000001
667,1991-12-04,1964-10-01,659.7
668,1996-01-19,1964-10-01,675.1
670,1999-10-29,1964-10-01,676.3
671,2003-12-10,1964-10-01,675.6
672,2013-07-31,1964-10-01,698.4
